task_type,scaffold,correct,prompt,response,a,b,correct_product,claimed,is_correct_claim,trigger,first_letter,last_letter,base_count,bonus,expected_word_count,difficulty,has_number,has_question,word_count,conditions_true,expected,has_3_letter,has_6_letter,rules,has_cat,has_dog,vowel_count,consonant_count,expected_format,sentence_count
arithmetic_verification,baseline,True,Is 14 × 18 = 252? Answer only 'Yes' or 'No'.,Yes.,14,18,252,252,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 14 × 23 = 329? Answer only 'Yes' or 'No'.,No.,14,23,322,329,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 27 × 25 = 675? Answer only 'Yes' or 'No'.,Yes.,27,25,675,675,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 11 × 12 = 138? Answer only 'Yes' or 'No'.,No.,11,12,132,138,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 24 × 23 = 552? Answer only 'Yes' or 'No'.,Yes.,24,23,552,552,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 21 × 23 = 483? Answer only 'Yes' or 'No'.,Yes.,21,23,483,483,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 12 × 16 = 192? Answer only 'Yes' or 'No'.,Yes.,12,16,192,192,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 11 × 16 = 186? Answer only 'Yes' or 'No'.,No.,11,16,176,186,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 26 × 15 = 390? Answer only 'Yes' or 'No'.,Yes.,26,15,390,390,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 17 × 27 = 459? Answer only 'Yes' or 'No'.,Yes.,17,27,459,459,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 21 × 14 = 294? Answer only 'Yes' or 'No'.,Yes.,21,14,294,294,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 15 × 11 = 165? Answer only 'Yes' or 'No'.,Yes.,15,11,165,165,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 23 × 14 = 322? Answer only 'Yes' or 'No'.,No.,23,14,322,322,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 14 × 26 = 364? Answer only 'Yes' or 'No'.,No.,14,26,364,364,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 11 × 21 = 231? Answer only 'Yes' or 'No'.,Yes.,11,21,231,231,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 25 × 19 = 475? Answer only 'Yes' or 'No'.,Yes.,25,19,475,475,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 23 × 28 = 637? Answer only 'Yes' or 'No'.,No.,23,28,644,637,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 23 × 11 = 254? Answer only 'Yes' or 'No'.,No.,23,11,253,254,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 20 × 18 = 360? Answer only 'Yes' or 'No'.,Yes.,20,18,360,360,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 22 × 23 = 510? Answer only 'Yes' or 'No'.,No.,22,23,506,510,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 25 × 19 = 475? Answer only 'Yes' or 'No'.,Yes.,25,19,475,475,True,,,,,,,,,,,,,,,,,,,,,
