task_type,scaffold,correct,prompt,response,trigger,has_cat,has_dog,word_count,expected,difficulty,has_3_letter,has_6_letter,expected_word_count,rules,first_letter,last_letter,base_count,bonus,sentence_count,expected_format,vowel_count,consonant_count,has_number,has_question,conditions_true
logic_generation,baseline,True,"Here are the rules for responding:
- IF the prompt contains the word ""cat"" THEN:
    - IF it ALSO contains ""dog"" → respond with exactly: ""BOTH""
    - ELSE → respond with exactly: ""CAT ONLY""
- ELSE IF the prompt contains ""dog"" (but not ""cat"") → respond with exactly: ""DOG ONLY""
- ELSE → respond with the exact NUMBER of words in the prompt (just the number)

The prompt is: ""Both the cat and dog are sleeping""

What is your response? Give ONLY your response, nothing else.",BOTH,Both the cat and dog are sleeping,True,True,7,BOTH,nested_conditional,,,,,,,,,,,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- If the prompt contains BOTH a 3-letter word AND a 6-letter word, respond with EXACTLY 2 words.
- If the prompt contains a 3-letter word but NO 6-letter word, respond with EXACTLY 7 words.
- If the prompt contains a 6-letter word but NO 3-letter word, respond with EXACTLY 1 word.
- If the prompt contains NEITHER a 3-letter word NOR a 6-letter word, respond with exactly: ""BANANA THUNDERSTORM""

The prompt is: ""Before from between first made their.""

What is your response? Give ONLY your response, nothing else.",BANANA THUNDERSTORM,Before from between first made their.,,,,,word_length_conditional,False,True,1,"{(True, True): 2, (True, False): 7, (False, True): 1, (False, False): 'BANANA THUNDERSTORM'}",,,,,,,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- Look at the FIRST letter of the prompt and the LAST letter of the prompt.
- If the first letter is A through M → your base word count is 3
- If the first letter is N through Z → your base word count is 5
- HOWEVER: If the last letter is a vowel (a,e,i,o,u) → ADD 2 to your word count
- Respond with EXACTLY that many words.

The prompt is: ""Hidden gem is perfect""

What is your response? Give ONLY your response, nothing else.",Five words: truly a must-see destination.,Hidden gem is perfect,,,,,position_letter_rule,,,3,,H,t,3,0,,,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- If the prompt contains BOTH a 3-letter word AND a 6-letter word, respond with EXACTLY 3 words.
- If the prompt contains a 3-letter word but NO 6-letter word, respond with EXACTLY 6 words.
- If the prompt contains a 6-letter word but NO 3-letter word, respond with EXACTLY 1 word.
- If the prompt contains NEITHER a 3-letter word NOR a 6-letter word, respond with exactly: ""BANANA THUNDERSTORM""

The prompt is: ""Call important made which other cup.""

What is your response? Give ONLY your response, nothing else.",SAM POND YELL KNIT FAST,Call important made which other cup.,,,,,word_length_conditional,True,False,6,"{(True, True): 3, (True, False): 6, (False, True): 1, (False, False): 'BANANA THUNDERSTORM'}",,,,,,,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- Look at the FIRST letter of the prompt and the LAST letter of the prompt.
- If the first letter is A through M → your base word count is 3
- If the first letter is N through Z → your base word count is 5
- HOWEVER: If the last letter is a vowel (a,e,i,o,u) → ADD 2 to your word count
- Respond with EXACTLY that many words.

The prompt is: ""Yellow sun is perfect""

What is your response? Give ONLY your response, nothing else.",Bright and warm.,Yellow sun is perfect,,,,,position_letter_rule,,,5,,Y,t,5,0,,,,,,,
logic_generation,baseline,True,"Here are the rules for responding:
- Look at the FIRST letter of the prompt and the LAST letter of the prompt.
- If the first letter is A through M → your base word count is 3
- If the first letter is N through Z → your base word count is 5
- HOWEVER: If the last letter is a vowel (a,e,i,o,u) → ADD 2 to your word count
- Respond with EXACTLY that many words.

The prompt is: ""Apple pie is elegant""

What is your response? Give ONLY your response, nothing else.",Delicious treat indeed.,Apple pie is elegant,,,,,position_letter_rule,,,3,,A,t,3,0,,,,,,,
logic_generation,baseline,True,"Here are the rules for responding:
- Count the sentences (separated by . ! or ?) and words in the prompt.
- If 1 sentence AND fewer than 10 words → respond in ALL CAPITALS
- If 1 sentence AND 10 or more words → respond in all lowercase
- If 2 or more sentences AND odd total word count → respond with a question (end with ?)
- If 2 or more sentences AND even total word count → respond with an exclamation (end with !)

The prompt is: ""Time moves forward""

What is your response? Give ONLY your response, nothing else.",TIME MOVES FORWARD!,Time moves forward,,,3,,sentence_word_rule,,,,,,,,,1,ALL_CAPS,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- Look at the FIRST letter of the prompt and the LAST letter of the prompt.
- If the first letter is A through M → your base word count is 3
- If the first letter is N through Z → your base word count is 5
- HOWEVER: If the last letter is a vowel (a,e,i,o,u) → ADD 2 to your word count
- Respond with EXACTLY that many words.

The prompt is: ""Never stop is home""

What is your response? Give ONLY your response, nothing else.",Time to rest.,Never stop is home,,,,,position_letter_rule,,,7,,N,e,5,2,,,,,,,
logic_generation,baseline,False,"Here are the rules for responding:
- Count the vowels (a, e, i, o, u) and consonants in the prompt.
- If there are MORE vowels than consonants → your response must START with a vowel (a, e, i, o, u)
- If there are MORE consonants than vowels → your response must START with a consonant
- If there are EQUAL vowels and consonants → respond with EXACTLY one word

The prompt is: ""Cats hunt prey""

What is your response? Give ONLY your response, nothing else.",Interesting.,Cats hunt prey,,,,,vowel_consonant_rule,,,,,,,,,,starts_with_consonant,3,9,,,
logic_generation,baseline,True,"Here are the rules for responding:
- Look at the FIRST letter of the prompt and the LAST letter of the prompt.
- If the first letter is A through M → your base word count is 3
- If the first letter is N through Z → your base word count is 5
- HOWEVER: If the last letter is a vowel (a,e,i,o,u) → ADD 2 to your word count
- Respond with EXACTLY that many words.

The prompt is: ""Great idea is perfect""

What is your response? Give ONLY your response, nothing else.",Wonderful concept indeed!,Great idea is perfect,,,,,position_letter_rule,,,3,,G,t,3,0,,,,,,,
logic_generation,baseline,True,"Here are the rules for responding:
- Count the sentences (separated by . ! or ?) and words in the prompt.
- If 1 sentence AND fewer than 10 words → respond in ALL CAPITALS
- If 1 sentence AND 10 or more words → respond in all lowercase
- If 2 or more sentences AND odd total word count → respond with a question (end with ?)
- If 2 or more sentences AND even total word count → respond with an exclamation (end with !)

The prompt is: ""Cats sleep. Dogs bark. Birds sing. Fish swim.""

What is your response? Give ONLY your response, nothing else.",!,Cats sleep. Dogs bark. Birds sing. Fish swim.,,,8,,sentence_word_rule,,,,,,,,,4,exclamation,,,,,
