task_type,scaffold,correct,prompt,response,a,b,correct_product,claimed,is_correct_claim,trigger,has_cat,has_dog,word_count,expected,difficulty,sentence_count,expected_format,has_3_letter,has_6_letter,expected_word_count,rules,vowel_count,consonant_count,first_letter,last_letter,base_count,bonus,has_number,has_question,conditions_true
arithmetic_verification,baseline,True,Is 28 × 15 = 420? Answer only 'Yes' or 'No'.,Yes,28,15,420,420,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 20 × 20 = 400? Answer only 'Yes' or 'No'.,Yes,20,20,400,400,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 27 × 27 = 729? Answer only 'Yes' or 'No'.,Yes,27,27,729,729,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 27 × 14 = 378? Answer only 'Yes' or 'No'.,No,27,14,378,378,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 28 × 22 = 616? Answer only 'Yes' or 'No'.,No,28,22,616,616,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 18 × 14 = 252? Answer only 'Yes' or 'No'.,Yes,18,14,252,252,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 28 × 12 = 338? Answer only 'Yes' or 'No'.,No,28,12,336,338,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 12 × 18 = 215? Answer only 'Yes' or 'No'.,No,12,18,216,215,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 11 × 22 = 242? Answer only 'Yes' or 'No'.,No,11,22,242,242,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 19 × 22 = 418? Answer only 'Yes' or 'No'.,No,19,22,418,418,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 25 × 25 = 633? Answer only 'Yes' or 'No'.,No,25,25,625,633,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 19 × 20 = 373? Answer only 'Yes' or 'No'.,No,19,20,380,373,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 28 × 25 = 710? Answer only 'Yes' or 'No'.,No,28,25,700,710,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 17 × 22 = 370? Answer only 'Yes' or 'No'.,No,17,22,374,370,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 21 × 13 = 273? Answer only 'Yes' or 'No'.,No,21,13,273,273,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 13 × 16 = 208? Answer only 'Yes' or 'No'.,No,13,16,208,208,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 26 × 20 = 520? Answer only 'Yes' or 'No'.,Yes,26,20,520,520,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 12 × 20 = 230? Answer only 'Yes' or 'No'.,No,12,20,240,230,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 13 × 16 = 208? Answer only 'Yes' or 'No'.,No,13,16,208,208,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 12 × 22 = 264? Answer only 'Yes' or 'No'.,No,12,22,264,264,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 22 × 27 = 590? Answer only 'Yes' or 'No'.,No,22,27,594,590,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 23 × 14 = 328? Answer only 'Yes' or 'No'.,No,23,14,322,328,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 25 × 19 = 468? Answer only 'Yes' or 'No'.,No,25,19,475,468,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,False,Is 26 × 13 = 338? Answer only 'Yes' or 'No'.,No,26,13,338,338,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 18 × 18 = 324? Answer only 'Yes' or 'No'.,Yes,18,18,324,324,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 16 × 28 = 446? Answer only 'Yes' or 'No'.,No,16,28,448,446,False,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 16 × 20 = 320? Answer only 'Yes' or 'No'.,Yes,16,20,320,320,True,,,,,,,,,,,,,,,,,,,,,
arithmetic_verification,baseline,True,Is 26 × 14 = 366? Answer only 'Yes' or 'No'.,No,26,14,364,366,False,,,,,,,,,,,,,,,,,,,,,
